counter,name,character_type,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
44,Kevin Davidson,patient,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",No actor listed.,single,"['S-1-EP-3', 'S-1-EP-3']","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War",['1']
45,Troy Davis,patient,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",Doug Simpson,single,"['S-5-EP-21', 'S-5-EP-21']",Drifting_Back,Drifting Back,Drifting_Back,Drifting Back,['5']
46,Rachel Dawson,patient,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']",Enid Graham,multiple,"['S-9-EP-19', 'S-9-EP-21']",Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Sleeping_Monster,Sleeping Monster,['9']
47,Elena Debray,patient,['Coma'],No actor listed.,single,"['S-2-EP-8', 'S-2-EP-8']",Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,['2']
48,Kyle Diaz,patient,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']",Wilmer Valderrama,multiple,"['S-12-EP-17', 'S-12-EP-23']",I_Wear_the_Face,I Wear the Face,At_Last,At Last,['12']
49,Doc,family,['No diagnosis available'],No actor listed.,multiple,"['S-2-EP-11', 'S-3-EP-17']",Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
50,William Dunn,patient,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']",Eric Stoltz,multiple,"['S-5-EP-11', 'S-5-EP-13']",Wish_You_Were_Here,Wish You Were Here,Stairway_to_Heaven,Stairway to Heaven,['5']
51,"Denny Duquette, Jr.",patient,['Congestive Heart Failure'],Jeffrey Dean Morgan,multiple,"['S-2-EP-13', 'S-5-EP-23']",Begin_the_Begin,Begin the Begin,Here%27s_to_Future_Days,Here's to Future Days,"['2', '5']"
52,James Evans,family,['No diagnosis available'],James Remar,multiple,"['S-10-EP-4', 'S-10-EP-13']",Puttin%27_on_the_Ritz,Puttin' on the Ritz,Take_It_Back,Take It Back,['10']
53,Elizabeth Fallon,patient,['Pancreatic Cancer'],Anna Maria Horsford,multiple,"['S-1-EP-4', 'S-3-EP-17']",No_Man%27s_Land,No Man's Land,Some_Kind_of_Miracle,Some Kind of Miracle,"['1', '3']"
54,Jesse Fannon,patient,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",Omar Metwally,single,"['S-2-EP-21', 'S-2-EP-21']",Superstition,Superstition,Superstition,Superstition,['2']
55,Emile Flores,patient,"['Broken ankle', 'Epidural bleed']",Brian George,single,"['S-6-EP-14', 'S-6-EP-14']",Valentine%27s_Day_Massacre,Valentine's Day Massacre,Valentine%27s_Day_Massacre,Valentine's Day Massacre,['6']
56,Eugene Foote,patient,,Albert Hall,single,"['S-2-EP-23', 'S-2-EP-23']",Blues_for_Sister_Someone,Blues for Sister Someone,Blues_for_Sister_Someone,Blues for Sister Someone,['2']
57,Jordan Franklin,patient,"['Ascites', 'Liver disease', 'Hemochromatosis']",Jack Shearer,single,"['S-1-EP-9', 'S-1-EP-9']",Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,['1']
58,Peter Gekofsky,attending,['No diagnosis available'],Aaron Perilo,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
59,Stan Giamatti,patient,"['Severe bleeding', 'Paralysis']",Theo Rossi,multiple,"['S-4-EP-9', 'S-4-EP-10']","Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
60,David Gibbs,patient,['No diagnosis available'],Michael B. Silver,multiple,"['S-5-EP-1', 'S-5-EP-12']",God_Laughs,God Laughs,Losing_Battles,Losing Battles,['5']
61,Brett Gibson,patient,"['Gunshot wounds', 'Stroke', 'Brain death']",William Nicol,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
62,Peter Gibson,patient,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']",Jake Green,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
63,Susan Grant,family,['No diagnosis available'],Ann Cusack,multiple,"['S-3-EP-10', 'S-4-EP-13']",Blowups,Blowups,Blind_Love,Blind Love,"['3', '4']"
64,Greta,patient,['Inoperable Glioma'],Regina Taylor,single,"['S-4-EP-15', 'S-4-EP-15']",Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,['4']
65,Ellis Grey,family,['No diagnosis available'],Kate Burton,multiple,"['S-1-EP-1', 'S-14-EP-7']",A_Hard_Day%27s_Night,A Hard Day's Night,"Who_Lives,_Who_Dies,_Who_Tells_Your_Story","Who Lives, Who Dies, Who Tells Your Story","['1', '14']"
66,Lexie Grey,internresident,['No diagnosis available'],Chyler Leigh,multiple,"['S-3-EP-24', 'S-8-EP-24']",Testing_1-2-3,Testing 1-2-3,Flight,Flight,"['3', '8']"
67,Susan Grey,family,['No diagnosis available'],Mare Winningham,multiple,"['S-2-EP-22', 'S-3-EP-23']",The_Name_of_the_Game,The Name of the Game,"The_Other_Side_of_This_Life,_Part_2","The Other Side of This Life, Part 2","['2', '3']"
68,Nick Hanscom,patient,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']",Seth Green,multiple,"['S-4-EP-9', 'S-4-EP-10']","Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
69,Jen Harmon,patient,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']",Jennifer Westfeldt,multiple,"['S-5-EP-14', 'S-5-EP-16']",Beat_Your_Heart_Out,Beat Your Heart Out,An_Honest_Mistake,An Honest Mistake,['5']
70,Randy Helsby,patient,['Abdominal sarcoma'],Jocko Sims,single,"['S-6-EP-4', 'S-6-EP-4']",Tainted_Obligation,Tainted Obligation,Tainted_Obligation,Tainted Obligation,['6']
71,Emily Jensen,patient,"['Pregnancy', 'Placenta Percreta']",Luciana Faulhaber,single,"['S-11-EP-7', 'S-11-EP-7']","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?",['11']
72,Kirk Jensen,patient,['Bronchiolitis obliterans'],Ian Nelson,single,"['S-2-EP-2', 'S-2-EP-2']",Equal_and_Opposite,Equal and Opposite,Equal_and_Opposite,Equal and Opposite,['2']
73,JJ,patient,['Severe burns'],Nicole Sullivan,single,"['S-11-EP-22', 'S-11-EP-22']",She%27s_Leaving_Home,She's Leaving Home,She%27s_Leaving_Home,She's Leaving Home,['11']
74,Jordan,patient,,Roberto Urbina,single,"['S-5-EP-22', 'S-5-EP-22']",What_a_Difference_a_Day_Makes,What a Difference a Day Makes,What_a_Difference_a_Day_Makes,What a Difference a Day Makes,['5']
75,Lillie Jordan,patient,['Stage IV ovarian cancer'],Rosalind Chao,single,"['S-3-EP-6', 'S-3-EP-6']",Slip_Slidin%27_Away,Slip Slidin' Away,Slip_Slidin%27_Away,Slip Slidin' Away,['3']
76,Kathleen Kane,patient,"[""Colles' fracture"", 'Puncture wounds', 'Coagulation disorder', 'Stroke']",Molly Leland,single,"['S-10-EP-3', 'S-10-EP-3']",Everybody%27s_Crying_Mercy,Everybody's Crying Mercy,Everybody%27s_Crying_Mercy,Everybody's Crying Mercy,['10']
77,Kara (The Hard Part),patient,"['Pregnancy', 'Dehydration', 'Broken rib', 'Arm injury']",Ever Carradine,single,"['S-3-EP-7', 'S-3-EP-7']",The_Hard_Part,The Hard Part,The_Hard_Part,The Hard Part,['3']
78,Veronica Kays,patient,"['Contact dermatitis', 'Pregnancy', 'Advanced pancreatic cancer', 'Spinal met', 'Pulmonary embolus']",Brigid Brannagh,multiple,"['S-13-EP-6', 'S-13-EP-21']",Roar,Roar,Don%27t_Stop_Me_Now,Don't Stop Me Now,['13']
79,Keith,patient,"['Bruising', 'Head laceration', 'Skull fracture', 'Grade III liver laceration']",Casey Thomas Brown,single,"['S-13-EP-23', 'S-13-EP-23']",True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),['13']
80,Jordan Kenley,attending,['No diagnosis available'],John Sloman,single,"['S-5-EP-11', 'S-5-EP-11']",Wish_You_Were_Here,Wish You Were Here,Wish_You_Were_Here,Wish You Were Here,['5']
81,Vincent Kenner,patient,"['Scalp laceration', 'Depressed skull fracture', 'Abdominal bleed', 'Crush injuries', 'Aortic tear']",No actor listed.,multiple,"['S-5-EP-1', 'S-5-EP-2']","Dream_a_Little_Dream_of_Me,_Part_1","Dream a Little Dream of Me, Part 1","Dream_a_Little_Dream_of_Me,_Part_2","Dream a Little Dream of Me, Part 2",['5']
82,Ryan Kerrigan,others,['No diagnosis available'],Wes Brown,multiple,"['S-5-EP-6', 'S-5-EP-8']",If_I_Hadn%27t_Forgotten...,If I Hadn't Forgotten...,Who_We_Are,Who We Are,['5']
83,Daniel Kiefer,patient,"['Hepatoblastoma', 'Jaundice', 'Heart failure', 'Pulmonary failure']",No actor listed.,single,"['S-12-EP-3', 'S-12-EP-3']",I_Choose_You,I Choose You,I_Choose_You,I Choose You,['12']
84,Jeffrey King,patient,"['Stage 4A colon cancer', 'Liver metastasis']",David Chisum,single,"['S-14-EP-6', 'S-14-EP-6']","Come_on_Down_to_My_Boat,_Baby","Come on Down to My Boat, Baby","Come_on_Down_to_My_Boat,_Baby","Come on Down to My Boat, Baby",['14']
85,Seth Lepik,patient,['MRSA'],Tom Costello,multiple,"['S-9-EP-20', 'S-9-EP-21']",She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
86,Billy Linneman,patient,['Gunshot wounds'],Kinsey McLean,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
87,Brett Loveman,patient,,Todd Stashwick,single,"['S-4-EP-14', 'S-4-EP-14']",Home_Again,Home Again,Home_Again,Home Again,['4']
88,Robert Martin,patient,"['Subdural hemorrhage', 'Delirium', ""Rathke's cleft cyst"", 'Hyponatremia', 'Seizure']",Curtis Armstrong,multiple,"['S-2-EP-10', 'S-2-EP-11']",Much_too_Much,Much too Much,Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,['2']
89,Matty,patient,['Gallstones'],Edgar Salas,single,"['S-13-EP-13', 'S-13-EP-13']",It_Only_Gets_Much_Worse,It Only Gets Much Worse,It_Only_Gets_Much_Worse,It Only Gets Much Worse,['13']
90,Griffin McColl,patient,"['Electrocution', 'Intracranial bleed', 'Re-bleed', 'Memory loss']",Lance Henriksen,single,"['S-12-EP-14', 'S-12-EP-14']",Odd_Man_Out,Odd Man Out,Odd_Man_Out,Odd Man Out,['12']
91,Gretchen McKay,patient,"['Pregnancy', 'Delayed abruption']",Linara Washington,single,"['S-12-EP-18', 'S-12-EP-18']","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line",['12']
92,Holden McKee,patient,"['Minimal consciousness', 'Temporal parietal scalp laceration', 'Epidural hematoma']",Brian Kerwin,single,"['S-2-EP-9', 'S-2-EP-9']",Thanks_for_the_Memories,Thanks for the Memories,Thanks_for_the_Memories,Thanks for the Memories,['2']
93,Francesca McNeil,patient,"['Cardiomyopathy', 'Heart failure', 'RAF 1 Mutation']",Harley Graham,multiple,"['S-10-EP-18', 'S-10-EP-21']",You_Be_Illin%27,You Be Illin',Change_of_Heart,Change of Heart,['10']
94,Donald Mercer,patient,"['Skull fracture', 'MVC Injuries']",No actor listed.,single,"['S-10-EP-15', 'S-10-EP-15']",Throwing_it_All_Away,Throwing it All Away,Throwing_it_All_Away,Throwing it All Away,['10']
95,Michael,patient,['Car accident injuries'],No actor listed.,single,"['S-8-EP-17', 'S-8-EP-17']",One_Step_Too_Far,One Step Too Far,One_Step_Too_Far,One Step Too Far,['8']
96,Michelle,patient,"[""Huntington's disease"", 'Respiratory distress']",Sydney Tamiia Poitier,multiple,"['S-4-EP-16', 'S-5-EP-5']",Love_and_Lies,Love and Lies,Step_One,Step One,"['4', '5']"
97,Timothy Miller,patient,"['Crush injuries', 'Open fractures', 'Open femur fracture', 'Posterior hip dislocation']",Ed Lauter,single,"['S-5-EP-8', 'S-5-EP-8']",These_Ties_That_Bind,These Ties That Bind,These_Ties_That_Bind,These Ties That Bind,['5']
98,Dan Mooney,patient,"['Arm injury', 'Neck laceration']",Richard T. Jones,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
99,Gloria Murphy,patient,"['Congestive heart failure', 'Pregnancy']",Dahlia Salem,single,"['S-5-EP-15', 'S-5-EP-15']",You_Break_My_Heart,You Break My Heart,You_Break_My_Heart,You Break My Heart,['5']
100,Reilly Nash,patient,['Traumatic crash injuries'],Masam Holden,single,"['S-7-EP-9', 'S-7-EP-9']","Slow_Night,_So_Long","Slow Night, So Long","Slow_Night,_So_Long","Slow Night, So Long",['7']
101,Nate (In Which Dell Finds His Fight),patient,"['Liver spots', 'Bruises', 'Heart attack']",John Brandon,single,"['S-1-EP-9', 'S-1-EP-9']",In_Which_Dell_Finds_His_Fight,In Which Dell Finds His Fight,In_Which_Dell_Finds_His_Fight,In Which Dell Finds His Fight,['1']
102,Phillip Nichols,patient,"['Hernia', 'Cryptococcus', 'AIDS', ""Kaposi's sarcoma"", 'Intussusception', 'Pneumocystis pneumonia']",Ian Jensen,single,"['S-6-EP-15', 'S-6-EP-15']",The_Time_Warp,The Time Warp,The_Time_Warp,The Time Warp,['6']
103,Nick,patient,"['Osteosarcoma', 'Intradural mets', 'Cardiac tumor']",Jordan Belfi,multiple,"['S-8-EP-22', 'S-8-EP-23']",Let_the_Bad_Times_Roll,Let the Bad Times Roll,Migration,Migration,['8']
104,Benjamin O'Leary,patient,['Brain tumor'],Peter Paige,single,"['S-3-EP-2', 'S-3-EP-2']",I_Am_a_Tree,I Am a Tree,I_Am_a_Tree,I Am a Tree,['3']
105,George O'Malley,internresident,['No diagnosis available'],T.R. Knight,multiple,"['S-1-EP-1', 'S-6-EP-1']",A_Hard_Day%27s_Night,A Hard Day's Night,Good_Mourning,Good Mourning,"['1', '6']"
106,Harold O'Malley,family,['No diagnosis available'],George Dzundza,multiple,"['S-2-EP-9', 'S-3-EP-12']",Thanks_for_the_Memories,Thanks for the Memories,"Six_Days,_Part_2","Six Days, Part 2","['2', '3']"
107,Bradley Parker,patient,"['Amyotrophic lateral sclerosis', 'Hematochezia']",Logan Fahey,single,"['S-9-EP-17', 'S-9-EP-17']",Transplant_Wasteland,Transplant Wasteland,Transplant_Wasteland,Transplant Wasteland,['9']
108,Heather Parker,family,['No diagnosis available'],Agnes Bruckner,multiple,"['S-2-EP-11', 'S-3-EP-10']",Contamination,Contamination,Blowups,Blowups,"['2', '3']"
109,Charles Percy,internresident,['No diagnosis available'],Robert Baker,multiple,"['S-6-EP-5', 'S-12-EP-11']",Invasion,Invasion,Unbreak_My_Heart,Unbreak My Heart,"['6', '12']"
110,Michael Perkins,patient,['Measles'],Jackson Lee Wurth,single,"['S-2-EP-11', 'S-2-EP-11']",Contamination,Contamination,Contamination,Contamination,['2']
111,Mr. Peterson,patient,['Head injury'],No actor listed.,single,"['S-11-EP-1', 'S-11-EP-1']",I_Must_Have_Lost_It_on_the_Wind,I Must Have Lost It on the Wind,I_Must_Have_Lost_It_on_the_Wind,I Must Have Lost It on the Wind,['11']
112,Thomas Peterson,patient,"['Intestinal perforation', 'Patent ductus ateriosis', 'Necrotizing enterocolitis', 'Congestive heart failure', 'Brain bleed', 'Pericardial tumor', 'Hip displasia', 'Sepsis', 'Ileocolic fistula', 'Post-hemorrhagic hydrocephalus', 'Retinopathy of prematurity']",No actor listed.,multiple,"['S-8-EP-15', 'S-8-EP-21']",Have_You_Seen_Me_Lately%3F,Have You Seen Me Lately?,Moment_of_Truth,Moment of Truth,['8']
113,Phillip (What You Do for Love),patient,"['Type II diabetes', 'Insulin overdose', 'Brain death']",Adam Lazarre-White,single,"['S-2-EP-21', 'S-2-EP-21']",What_You_Do_for_Love,What You Do for Love,What_You_Do_for_Love,What You Do for Love,['2']
114,Diane Pierce,family,['No diagnosis available'],LaTanya Richardson Jackson,multiple,"['S-13-EP-12', 'S-13-EP-18']",None_of_Your_Business,None of Your Business,"Be_Still,_My_Soul","Be Still, My Soul",['13']
