counter,name,image,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
11,Harper Avery,https://vignette.wikia.nocookie.net/greysanatomy/images/d/df/14x03HarperAvery.png/revision/latest/scale-to-width-down/350?cb=20171006092046,family,['No diagnosis available'],[],['No treatment available'],Chelcie Ross,multiple,['S-14-EP-3'],Perfect_Little_Accident,Perfect Little Accident,Go_Big_or_Go_Home,Go Big or Go Home,"['6', '14']"
12,Samuel Norbert Avery,https://vignette.wikia.nocookie.net/greysanatomy/images/a/a9/11x11SamuelAvery.png/revision/latest/scale-to-width-down/350?cb=20150213060246,family,['No diagnosis available'],[],['No treatment available'],No actor listed.,single,['S-11-EP-11'],All_I_Could_Do_Was_Cry,All I Could Do Was Cry,All_I_Could_Do_Was_Cry,All I Could Do Was Cry,['11']
14,Joyce Basche,https://vignette.wikia.nocookie.net/greysanatomy/images/1/10/9x20JoyceBasche.png/revision/latest/scale-to-width-down/350?cb=20130414113511,patient,"['MRSA', 'Abscess']",[],['Cefazolin'],Sarah Lilly,multiple,['S-9-EP-21'],She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
15,Cathy Becker,https://vignette.wikia.nocookie.net/greysanatomy/images/0/06/6x06CathyBecker.png/revision/latest/scale-to-width-down/350?cb=20130506191313,patient,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']",[],"['Debridement', 'Silver sulfadiazine', 'Cefazolin', 'Ibuprofen', 'Morphine', 'Chest tube', 'Cricothyrotomy', 'Oxygen', 'Central line']",Erinn Hayes,single,['S-6-EP-6'],I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,['6']
16,Ed Beckert,https://vignette.wikia.nocookie.net/greysanatomy/images/5/55/7x19EdBeckert.png/revision/latest/scale-to-width-down/350?cb=20130712082029,patient,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",[],['No treatment available'],Newell Alexander,single,['S-7-EP-19'],It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
17,Grace Bickham,https://vignette.wikia.nocookie.net/greysanatomy/images/8/87/215GraceBickham.png/revision/latest/scale-to-width-down/350?cb=20130411140223,patient,['End-stage COPD'],[],"['Hospice care', 'Intubation']",Dona Hardy,single,['S-2-EP-15'],Break_on_Through,Break on Through,Break_on_Through,Break on Through,['2']
18,Andrew Billings,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8e/13x05AndrewBillings.png/revision/latest/scale-to-width-down/350?cb=20161021152234,patient,"['Cardiac myxoma', 'Brain death']",[],['Tumor resection'],Don R. Williams,single,['S-13-EP-5'],Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,['13']
19,Charlie Bilson,https://vignette.wikia.nocookie.net/greysanatomy/images/6/66/814CharlieBilson.png/revision/latest/scale-to-width-down/350?cb=20130721033007,patient,"['Crush injuries', 'Internal bleeding', 'Broken nose']",[],['Surgery'],John Pollono,single,['S-8-EP-14'],All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,['8']
20,Dr. Bones,https://vignette.wikia.nocookie.net/greysanatomy/images/f/fa/DrBones.png/revision/latest/scale-to-width-down/350?cb=20140221212420,others,['No diagnosis available'],[],['No treatment available'],No actor listed.,,[],Time_Has_Come_Today,Time Has Come Today,,,[]
21,Heather Brooks,https://vignette.wikia.nocookie.net/greysanatomy/images/5/5c/10x01HeatherBrooks.png/revision/latest/scale-to-width-down/350?cb=20130928174225,intern resident,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Electrocution_and_Death"">Electrocution and Death</span><span class=""editsection""><a href=""/wiki/Heather_Brooks?action=edit&amp;section=4"" title=""Edit Electrocution and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>After the superstorm, Dr. Shepherd told Shane to find Brooks. When he bumped into Brooks, he told her to go and search for Dr. Webber, which Dr. Bailey told him to do. Brooks went into the generator room, searching for Dr. Webber and saw him suffering from electrical shock. She ran to help him and stepped into a water puddle, which had electricity running through it causing her to be electrocuted. Just before she fell, her head hit a generator box and she collapsed. When Shane found her, he and Derek rushed her into surgery. Although\xc2\xa0they repaired her subdural brain bleed,\xc2\xa0she died on the table due to too much swelling in her brain. <i>(""<a href=""/wiki/I_Want_You_With_Me"" title=""I Want You With Me"">I Want You With Me</a>"")</i>\n</p><p>Despite the fact that she died before she finished her internship, a personalized lab coat was accidentally made for her which Shane found in an empty cubby when the interns moved into the residents\' lounge.\xc2\xa0\n</p>']",['No treatment available'],Tina Majorino,multiple,"['S-9-EP-1', 'S-9-EP-9', 'S-9-EP-17', 'S-9-EP-2', 'S-9-EP-10', 'S-9-EP-18', 'S-9-EP-11', 'S-9-EP-19', 'S-9-EP-4', 'S-9-EP-20', 'S-9-EP-5', 'S-9-EP-6', 'S-9-EP-14', 'S-9-EP-22', 'S-9-EP-7', 'S-9-EP-15', 'S-9-EP-23', 'S-9-EP-8', 'S-9-EP-16', 'S-9-EP-24', 'S-10-EP-1', 'S-10-EP-2', 'S-10-EP-2']","Going,_Going,_Gone","Going, Going, Gone",I_Want_You_With_Me,I Want You With Me,"['9', '10']"
22,Teresa Brotherton,https://vignette.wikia.nocookie.net/greysanatomy/images/6/65/407TeresaBrotherton.png/revision/latest/scale-to-width-down/350?cb=20130427213139,patient,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",[],['Surgery'],Enuka Okuma,single,['S-4-EP-7'],Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,['4']
23,Rosemary Bullard,https://vignette.wikia.nocookie.net/greysanatomy/images/9/98/507RosemaryBullard.png/revision/latest/scale-to-width-down/350?cb=20130505211032,patient,"['Cancer', 'Brain Tumor']",[],['Tumor resection'],Bonnie Bartlett,single,['S-5-EP-7'],Rise_Up,Rise Up,Rise_Up,Rise Up,['5']
24,Henry Burton,https://vignette.wikia.nocookie.net/greysanatomy/images/1/17/8x07-19.jpg/revision/latest/scale-to-width-down/333?cb=20131002193204,family,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Henry_Burton?action=edit&amp;section=10"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Teddy took Henry to the ER. He had a <a href=""/wiki/Computed_Tomography"" title=""Computed Tomography"">CT</a>, which revealed a tumor near his heart, causing bleeding in his lungs and trachea. Richard was planning to operate by opening his chest, but Teddy wanted it done with a bronchoscope. She wanted Cristina to do it. Cristina wasn\'t informed of the patient\'s identity (she was told he was a ""35-year-old male"") until after the surgery. (""<a href=""/wiki/Dark_Was_the_Night"" title=""Dark Was the Night"">Dark Was the Night</a>"")\n</p><p>Cristina explained to Teddy how initially she planned to remove the tumor using a broncoscope and a laser, but as there was too much bleeding, Dr. Webber (who was standing by) had to open him up. When he opened him up, they saw that the tumor had eroded the pulmonary artery and there was too much damage. Dr. Webber and Cristina used extraordinary measures, but his heart could not tolerate the excessive bleeding. He did not survive the surgery. <i>(""<a href=""/wiki/Suddenly"" title=""Suddenly"">Suddenly</a>"")</i>\n</p>']",['No treatment available'],Scott Foley,multiple,"['S-7-EP-17', 'S-7-EP-10', 'S-7-EP-18', 'S-7-EP-11', 'S-7-EP-19', 'S-7-EP-12', 'S-7-EP-21', 'S-7-EP-22', 'S-7-EP-15', 'S-8-EP-9', 'S-8-EP-2', 'S-8-EP-10', 'S-8-EP-5', 'S-8-EP-7', 'S-8-EP-8', 'S-8-EP-10']",Adrift_and_at_Peace,Adrift and at Peace,Suddenly,Suddenly,"['7', '8']"
25,Jake Burton,https://vignette.wikia.nocookie.net/greysanatomy/images/8/85/218JakeBurton.png/revision/latest/scale-to-width-down/350?cb=20130412061811,patient,['Advanced craniodiaphyseal dysplasia'],[],"['Tumor resection', 'Plastic surgery']",Jesse Plemons,single,['S-2-EP-18'],Yesterday,Yesterday,Yesterday,Yesterday,['2']
26,Rich Campion,https://vignette.wikia.nocookie.net/greysanatomy/images/f/fc/9x13RichCampion.png/revision/latest/scale-to-width-down/350?cb=20140721061911,patient,"['Mediastinal hematoma', 'Aortic transection']",[],['Endovascular repair'],Jordan Holland,single,['S-9-EP-13'],Bad_Blood,Bad Blood,Bad_Blood,Bad Blood,['9']
28,Emma Carroll,https://vignette.wikia.nocookie.net/greysanatomy/images/0/00/8x18-24.jpg/revision/latest?cb=20130615102634,patient,['No diagnosis available'],[],['Attempted resuscitation'],Elizabeth Franz,single,['S-8-EP-18'],The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,['8']
29,Casey,https://vignette.wikia.nocookie.net/greysanatomy/images/a/a4/12x08-7.jpg/revision/latest/scale-to-width-down/350?cb=20151120054707,patient,"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",[],['Palliative care'],Casey Sander,single,['S-12-EP-8'],Things_We_Lost_in_the_Fire,Things We Lost in the Fire,Things_We_Lost_in_the_Fire,Things We Lost in the Fire,['12']
30,Jason Castor,https://vignette.wikia.nocookie.net/greysanatomy/images/2/21/10x17JasonCastor.png/revision/latest/scale-to-width-down/350?cb=20140329161938,patient,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",[],"['Surgery', 'Ventilator']",Charlie Hofheimer,single,['S-10-EP-17'],Do_You_Know%3F,Do You Know?,Do_You_Know%3F,Do You Know?,['10']
31,Alison Clark,https://vignette.wikia.nocookie.net/greysanatomy/images/0/07/5x23-30.jpg/revision/latest/scale-to-width-down/350?cb=20150501131747,patient,['Stage 4 Cancer'],[],['I.L. 2'],Liza Weil,single,['S-5-EP-23'],Here%27s_to_Future_Days,Here's to Future Days,Here%27s_to_Future_Days,Here's to Future Days,['5']
32,Alison Clark (Sympathy for the Parents),https://vignette.wikia.nocookie.net/greysanatomy/images/1/17/6x19AllisonClark.png/revision/latest/scale-to-width-down/350?cb=20130828104655,patient,"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']","['<h3><span class=""mw-headline"" id=""Hospitalization_and_Death"">Hospitalization and Death</span><span class=""editsection""><a href=""/wiki/Alison_Clark_(Sympathy_for_the_Parents)?action=edit&amp;section=2"" title=""Edit Hospitalization and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>While at the grocery store with her husband, Alison collapsed. She was anemic and they determined that she had internal bleeding coming from her tumor. <a href=""/wiki/Rebecca_Swender"" title=""Rebecca Swender"">Rebecca Swender</a> had told them that Alison\'s cancer was back, but that they may be able to remove it. <a href=""/wiki/Richard_Webber"" title=""Richard Webber"">Richard Webber</a> promised them he\'d do everything he could. In surgery, Webber believed he could do a local resection. The surgery went well and her husband was told they got good margins and she\'d be okay.\n</p><p>However, when <a href=""/wiki/April_Kepner"" title=""April Kepner"">April Kepner</a> went to wean her off the ventilator, she wasn\'t breathing on her own, so April had to restore previous vent settings. Richard suspected a stroke and had her run a CT and an EEG. She had a stroke and a large bleed. There was nothing they could do as she was already brain dead. Her husband was told that she\'d never wake up. He wanted them to leave the ventilators on, but the advanced directive she\'d signed three years before when she was first diagnosed with cancer specifically said she wanted no mechanical ventilation. They had a meeting where he tried to get them to keep the machines on, but the ethics committee reviewed the case and determined that her advanced directive stood, so they turned the machines off and Alison died.\n</p>']","['Surgery', 'Mechanical ventilation']",Caroline Williams,single,['S-6-EP-19'],Sympathy_for_the_Parents,Sympathy for the Parents,Sympathy_for_the_Parents,Sympathy for the Parents,['6']
33,Gary Clark,https://vignette.wikia.nocookie.net/greysanatomy/images/c/c3/6x24-9.jpg/revision/latest/scale-to-width-down/333?cb=20150427183417,patient,['Gunshot wound'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Gary_Clark?action=edit&amp;section=5"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>From there, he went to the room where his wife died and he sat by himself. He realized that he only had one bullet left. He wanted to shoot Richard and then shoot himself, but he only had enough bullets for one of them, which caused him to want a drink from the flask he\'d brought in place of additional ammo. Webber poured out the vodka in his flask and talked to him, saying that killing him wouldn\'t get him justice. He\'d get arrested and taken to prison, but if he shot himself, he\'d be free and might get to see his wife again. He shot himself rather than be arrested. <i>(""<a href=""/wiki/Death_and_All_His_Friends"" title=""Death and All His Friends"">Death and All His Friends</a>"")</i>\n</p>\n<h2><span class=""mw-headline"" id=""Relationships"">Relationships</span><span class=""editsection""><a href=""/wiki/Gary_Clark?action=edit&amp;section=6"" title=""Edit Relationships section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h2>\n<h3><span class=""mw-headline"" id=""Romantic"">Romantic</span><span class=""editsection""><a href=""/wiki/Gary_Clark?action=edit&amp;section=7"" title=""Edit Romantic section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>He and Alison Clark had been married for 32 years at the time of her death. He was very upset when she died.\n</p>']",['Pressure gauze'],Michael O'Neill,multiple,"['S-6-EP-19', 'S-6-EP-21', 'S-6-EP-23', 'S-6-EP-24', 'S-6-EP-24']",Sympathy_for_the_Parents,Sympathy for the Parents,Death_and_All_His_Friends,Death and All His Friends,['6']
34,Elsie Clatch,https://vignette.wikia.nocookie.net/greysanatomy/images/1/1e/13x17ElsieClatch.png/revision/latest/scale-to-width-down/350?cb=20170324185613,patient,"['Syncope', 'Loculated acute on chronic subdural hematoma']",[],['Craniotomy'],June Squibb,single,['S-13-EP-17'],Till_I_Hear_It_From_You,Till I Hear It From You,Till_I_Hear_It_From_You,Till I Hear It From You,['13']
35,Annie Connors,https://vignette.wikia.nocookie.net/greysanatomy/images/1/14/106AnnieConners.png/revision/latest/scale-to-width-down/350?cb=20130402021919,patient,"['Tumor', 'Difficulty breathing']",[],['Tumor resection'],Alex S. Alexander,single,['S-1-EP-6'],If_Tomorrow_Never_Comes,If Tomorrow Never Comes,If_Tomorrow_Never_Comes,If Tomorrow Never Comes,['1']
36,Liz Cooper,https://vignette.wikia.nocookie.net/greysanatomy/images/3/35/10x22AnnieLizCooper.png/revision/latest/scale-to-width-down/350?cb=20140510193727,patient,"['High output cardiac failure', 'Blood clot', 'Brain death']",[],['Separation surgery'],Megan Stier,single,['S-10-EP-22'],We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,['10']
37,Louise Cortez,https://vignette.wikia.nocookie.net/greysanatomy/images/5/5b/7x08MrsCortez.png/revision/latest/scale-to-width-down/350?cb=20130828204808,patient,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']",[],"['Drain', 'Surgery']",Bridget Sienna,single,['S-7-EP-8'],Something%27s_Gotta_Give,Something's Gotta Give,Something%27s_Gotta_Give,Something's Gotta Give,['7']
38,Darren Covington,https://vignette.wikia.nocookie.net/greysanatomy/images/0/01/414DarrenCovington.png/revision/latest/scale-to-width-down/350?cb=20130429011328,patient,"['Malignant glioma', 'Encephalitis']",[],"['Surgery', 'Clinical trial']",Benny Ciaramello,single,['S-4-EP-14'],The_Becoming,The Becoming,The_Becoming,The Becoming,['4']
39,Bonnie Crasnoff,https://vignette.wikia.nocookie.net/greysanatomy/images/6/68/3x17-18.jpg/revision/latest/scale-to-width-down/333?cb=20140208161111,patient,['Massive internal injuries'],[],['Surgery'],Monica Keena,multiple,['S-3-EP-17'],Into_You_Like_a_Train,Into You Like a Train,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
40,Elyse Cruse,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d7/9x19ElyseCruse.png/revision/latest/scale-to-width-down/350?cb=20130330103141,patient,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']",[],"['C-section delivery', 'Surgery']",Kate Rene Gleason,single,['S-9-EP-19'],Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Can%27t_Fight_This_Feeling,Can't Fight This Feeling,['9']
42,Danny,https://vignette.wikia.nocookie.net/greysanatomy/images/3/31/11x17Danny.png/revision/latest/scale-to-width-down/350?cb=20150517151935,patient,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']",[],"['Albumin', 'Surgery', 'Shunt']",Alexander Walsh,single,['S-11-EP-17'],With_or_Without_You,With or Without You,With_or_Without_You,With or Without You,['11']
43,Daphne,https://vignette.wikia.nocookie.net/greysanatomy/images/f/f2/12x12-14.jpg/revision/latest/scale-to-width-down/350?cb=20160217002715,patient,"['Infection', 'Septicemia', 'Pseudomonas']",[],"['FFP', 'Surgery']",Meredith Salenger,single,['S-12-EP-12'],My_Next_Life,My Next Life,My_Next_Life,My Next Life,['12']
44,Kevin Davidson,https://vignette.wikia.nocookie.net/greysanatomy/images/b/b0/KevinDavidson.jpg/revision/latest/scale-to-width-down/350?cb=20090322141443,patient,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",[],['Organ Harvest'],No actor listed.,single,['S-1-EP-3'],"Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War",['1']
46,Rachel Dawson,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e0/9x21RachelDawson.png/revision/latest/scale-to-width-down/350?cb=20130427062848,patient,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']",[],"['Brain surgery', 'Mannitol', 'CPR']",Enid Graham,multiple,"['S-9-EP-19', 'S-9-EP-20', 'S-9-EP-21', 'S-9-EP-21']",Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Sleeping_Monster,Sleeping Monster,['9']
48,Kyle Diaz,https://vignette.wikia.nocookie.net/greysanatomy/images/1/1b/12x22-15.jpg/revision/latest/scale-to-width-down/350?cb=20160506041910,patient,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']","['<h3><span class=""mw-headline"" id=""Meningitis_and_Death"">Meningitis and Death</span><span class=""editsection""><a href=""/wiki/Kyle_Diaz?action=edit&amp;section=4"" title=""Edit Meningitis and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Kyle later returned to the ER with what looked like meningitis. <i>(""<a href=""/wiki/Mama_Tried"" title=""Mama Tried"">Mama Tried</a>"")</i>\n</p><p>To be treated for the infection, Kyle had to have his implant removed, which brought back his tremor. He was aggressively treated, but the infection started spreading to his ventricles, so he needed drainage and washout to clean out the infection. He was taken in for surgery, but he started to code and was pronounced dead in the OR. <i>(""<a href=""/wiki/At_Last"" title=""At Last"">At Last</a>"")</i>\n</p>']","['Deep brain stimulation', 'Antibiotics', 'Drainage', 'Ventricular washout']",Wilmer Valderrama,multiple,"['S-12-EP-17', 'S-12-EP-20', 'S-12-EP-21', 'S-12-EP-22', 'S-12-EP-23', 'S-12-EP-23']",I_Wear_the_Face,I Wear the Face,At_Last,At Last,['12']
