counter,name,character_type,diagnosis,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
14,Joyce Basche,patient,"['MRSA', 'Abscess']",['Cefazolin'],Sarah Lilly,multiple,['S-9-EP-21'],,,Sleeping_Monster,Sleeping Monster,['9']
15,Cathy Becker,patient,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']","['Debridement', 'Silver sulfadiazine', 'Cefazolin', 'Ibuprofen', 'Morphine', 'Chest tube', 'Cricothyrotomy', 'Oxygen', 'Central line']",Erinn Hayes,single,"['S-6-EP-6', 'S-6-EP-6']",I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,['6']
16,Ed Beckert,patient,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",['No treatment available'],Newell Alexander,single,"['S-7-EP-19', 'S-7-EP-19']",It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
17,Grace Bickham,patient,['End-stage COPD'],"['Hospice care', 'Intubation']",Dona Hardy,single,"['S-2-EP-15', 'S-2-EP-15']",Break_on_Through,Break on Through,Break_on_Through,Break on Through,['2']
18,Andrew Billings,patient,"['Cardiac myxoma', 'Brain death']",['Tumor resection'],Don R. Williams,single,"['S-13-EP-5', 'S-13-EP-5']",Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,['13']
19,Charlie Bilson,patient,"['Crush injuries', 'Internal bleeding', 'Broken nose']",['Surgery'],John Pollono,single,"['S-8-EP-14', 'S-8-EP-14']",All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,['8']
20,Dr. Bones,others,['No diagnosis available'],['No treatment available'],No actor listed.,,[],,,,,[]
21,Heather Brooks,intern resident,['No diagnosis available'],['No treatment available'],Tina Majorino,multiple,['S-10-EP-2'],,,I_Want_You_With_Me,I Want You With Me,['10']
22,Teresa Brotherton,patient,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",['Surgery'],Enuka Okuma,single,"['S-4-EP-7', 'S-4-EP-7']",Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,['4']
23,Rosemary Bullard,patient,"['Cancer', 'Brain Tumor']",['Tumor resection'],Bonnie Bartlett,single,"['S-5-EP-7', 'S-5-EP-7']",Rise_Up,Rise Up,Rise_Up,Rise Up,['5']
24,Henry Burton,family,['No diagnosis available'],['No treatment available'],Scott Foley,multiple,['S-8-EP-10'],,,Suddenly,Suddenly,['8']
25,Jake Burton,patient,['Advanced craniodiaphyseal dysplasia'],"['Tumor resection', 'Plastic surgery']",Jesse Plemons,single,"['S-2-EP-18', 'S-2-EP-18']",Yesterday,Yesterday,Yesterday,Yesterday,['2']
26,Rich Campion,patient,"['Mediastinal hematoma', 'Aortic transection']",['Endovascular repair'],Jordan Holland,single,"['S-9-EP-13', 'S-9-EP-13']",Bad_Blood,Bad Blood,Bad_Blood,Bad Blood,['9']
27,Vivian Carlsmith,patient,['Stage IV Gastrocarcinoma'],['Pain Management'],Deanna Dunagan,single,"['S-6-EP-6', 'S-6-EP-6']",Apron_Strings,Apron Strings,Apron_Strings,Apron Strings,['6']
28,Emma Carroll,patient,['No diagnosis available'],['Attempted resuscitation'],Elizabeth Franz,single,"['S-8-EP-18', 'S-8-EP-18']",The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,['8']
29,Casey (Things We Lost in the Fire),patient,"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",['Palliative care'],Casey Sander,single,"['S-12-EP-8', 'S-12-EP-8']",Things_We_Lost_in_the_Fire,Things We Lost in the Fire,Things_We_Lost_in_the_Fire,Things We Lost in the Fire,['12']
30,Jason Castor,patient,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']","['Surgery', 'Ventilator']",Charlie Hofheimer,single,"['S-10-EP-17', 'S-10-EP-17']",Do_You_Know%3F,Do You Know?,Do_You_Know%3F,Do You Know?,['10']
31,Alison Clark,patient,['Stage 4 Cancer'],['I.L. 2'],Liza Weil,single,"['S-5-EP-23', 'S-5-EP-23']",Here%27s_to_Future_Days,Here's to Future Days,Here%27s_to_Future_Days,Here's to Future Days,['5']
32,Alison Clark (Sympathy for the Parents),patient,"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']","['Surgery', 'Mechanical ventilation']",Caroline Williams,single,"['S-6-EP-19', 'S-6-EP-19']",Sympathy_for_the_Parents,Sympathy for the Parents,Sympathy_for_the_Parents,Sympathy for the Parents,['6']
33,Gary Clark,patient,['Gunshot wound'],['Pressure gauze'],Michael O'Neill,multiple,['S-6-EP-24'],,,Death_and_All_His_Friends,Death and All His Friends,['6']
34,Elsie Clatch,patient,"['Syncope', 'Loculated acute on chronic subdural hematoma']",['Craniotomy'],June Squibb,single,"['S-13-EP-17', 'S-13-EP-17']",Till_I_Hear_It_From_You,Till I Hear It From You,Till_I_Hear_It_From_You,Till I Hear It From You,['13']
35,Annie Connors,patient,"['Tumor', 'Difficulty breathing']",['Tumor resection'],Alex S. Alexander,single,"['S-1-EP-6', 'S-1-EP-6']",If_Tomorrow_Never_Comes,If Tomorrow Never Comes,If_Tomorrow_Never_Comes,If Tomorrow Never Comes,['1']
36,Liz Cooper,patient,"['High output cardiac failure', 'Blood clot', 'Brain death']",['Separation surgery'],Megan Stier,single,"['S-10-EP-22', 'S-10-EP-22']",We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,['10']
37,Louise Cortez,patient,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']","['Drain', 'Surgery']",Bridget Sienna,single,"['S-7-EP-8', 'S-7-EP-8']",Something%27s_Gotta_Give,Something's Gotta Give,Something%27s_Gotta_Give,Something's Gotta Give,['7']
38,Darren Covington,patient,"['Malignant glioma', 'Encephalitis']","['Surgery', 'Clinical trial']",Benny Ciaramello,single,"['S-4-EP-14', 'S-4-EP-14']",The_Becoming,The Becoming,The_Becoming,The Becoming,['4']
39,Bonnie Crasnoff,patient,['Massive internal injuries'],['Surgery'],Monica Keena,multiple,['S-3-EP-17'],,,Some_Kind_of_Miracle,Some Kind of Miracle,['3']
40,Elyse Cruse,patient,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']","['C-section delivery', 'Surgery']",Kate Rene Gleason,single,"['S-9-EP-19', 'S-9-EP-19']",Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Can%27t_Fight_This_Feeling,Can't Fight This Feeling,['9']
41,Ray Daniels,patient,"['Knee injury', 'Hypertrophic cardiomyopathy']",['Medicine'],Jeffrey Pierce,single,"['S-2-EP-9', 'S-2-EP-9']",Know_When_to_Fold,Know When to Fold,Know_When_to_Fold,Know When to Fold,['2']
42,Danny,patient,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']","['Albumin', 'Surgery', 'Shunt']",Alexander Walsh,single,"['S-11-EP-17', 'S-11-EP-17']",With_or_Without_You,With or Without You,With_or_Without_You,With or Without You,['11']
43,Daphne,patient,"['Infection', 'Septicemia', 'Pseudomonas']","['FFP', 'Surgery']",Meredith Salenger,single,"['S-12-EP-12', 'S-12-EP-12']",My_Next_Life,My Next Life,My_Next_Life,My Next Life,['12']
44,Kevin Davidson,patient,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",['Organ Harvest'],No actor listed.,single,"['S-1-EP-3', 'S-1-EP-3']","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War",['1']
45,Troy Davis,patient,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",['Mechanical ventilation'],Doug Simpson,single,"['S-5-EP-21', 'S-5-EP-21']",Drifting_Back,Drifting Back,Drifting_Back,Drifting Back,['5']
46,Rachel Dawson,patient,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']","['Brain surgery', 'Mannitol', 'CPR']",Enid Graham,multiple,['S-9-EP-21'],,,Sleeping_Monster,Sleeping Monster,['9']
47,Elena Debray,patient,['Coma'],"['Terbutaline', 'Life Support', 'C-Section delivery']",No actor listed.,single,"['S-2-EP-8', 'S-2-EP-8']",Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,['2']
48,Kyle Diaz,patient,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']","['Deep brain stimulation', 'Antibiotics', 'Drainage', 'Ventricular washout']",Wilmer Valderrama,multiple,['S-12-EP-23'],,,At_Last,At Last,['12']
49,Doc,family,['No diagnosis available'],['No treatment available'],No actor listed.,multiple,['S-3-EP-17'],,,Some_Kind_of_Miracle,Some Kind of Miracle,['3']
50,William Dunn,patient,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']","['Surgical extraction', 'Nephrectomy', 'Lorazepam', 'Surgery']",Eric Stoltz,multiple,['S-5-EP-13'],,,Stairway_to_Heaven,Stairway to Heaven,['5']
51,"Denny Duquette, Jr.",patient,['Congestive Heart Failure'],"['LVAD', 'Heart Transplant']",Jeffrey Dean Morgan,multiple,['S-5-EP-23'],,,Here%27s_to_Future_Days,Here's to Future Days,['5']
52,James Evans,family,['No diagnosis available'],['No treatment available'],James Remar,multiple,['S-10-EP-13'],,,Take_It_Back,Take It Back,['10']
53,Elizabeth Fallon,patient,['Pancreatic Cancer'],['Palliative Care'],Anna Maria Horsford,multiple,['S-3-EP-17'],,,Some_Kind_of_Miracle,Some Kind of Miracle,['3']
54,Jesse Fannon,patient,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",['Surgery'],Omar Metwally,single,"['S-2-EP-21', 'S-2-EP-21']",Superstition,Superstition,Superstition,Superstition,['2']
55,Emile Flores,patient,"['Broken ankle', 'Epidural bleed']","['Reduction', 'Casting', 'Surgery']",Brian George,single,"['S-6-EP-14', 'S-6-EP-14']",Valentine%27s_Day_Massacre,Valentine's Day Massacre,Valentine%27s_Day_Massacre,Valentine's Day Massacre,['6']
56,Eugene Foote,patient,['No diagnosis available'],['Surgical Removal of Pacemaker'],Albert Hall,single,"['S-2-EP-23', 'S-2-EP-23']",Blues_for_Sister_Someone,Blues for Sister Someone,Blues_for_Sister_Someone,Blues for Sister Someone,['2']
57,Jordan Franklin,patient,"['Ascites', 'Liver disease', 'Hemochromatosis']",['Paracentesis'],Jack Shearer,single,"['S-1-EP-9', 'S-1-EP-9']",Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,['1']
58,Peter Gekofsky,attending,['No diagnosis available'],['No treatment available'],Aaron Perilo,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
59,Stan Giamatti,patient,"['Severe bleeding', 'Paralysis']",['No treatment available'],Theo Rossi,multiple,['S-4-EP-10'],,,"Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
60,David Gibbs,patient,['No diagnosis available'],['No treatment available'],Michael B. Silver,multiple,['S-5-EP-12'],,,Losing_Battles,Losing Battles,['5']
61,Brett Gibson,patient,"['Gunshot wounds', 'Stroke', 'Brain death']","['Cricothyrotomy', 'Surgery', 'Tracheal repair', 'Organ harvest']",William Nicol,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
62,Peter Gibson,patient,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']","['Subclavian line', 'Chest tubes', 'Organ harvest']",Jake Green,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
63,Susan Grant,family,['No diagnosis available'],['No treatment available'],Ann Cusack,multiple,['S-4-EP-13'],,,Blind_Love,Blind Love,['4']
64,Greta,patient,['Inoperable Glioma'],['Clinical Trial'],Regina Taylor,single,"['S-4-EP-15', 'S-4-EP-15']",Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,['4']
65,Ellis Grey,family,['No diagnosis available'],['No treatment available'],Kate Burton,multiple,['S-14-EP-7'],,,"Who_Lives,_Who_Dies,_Who_Tells_Your_Story","Who Lives, Who Dies, Who Tells Your Story",['14']
