counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
116,Diane Pierce,LaTanya Richardson Jackson,multiple,None of Your Business,"Be Still, My Soul",['13']
117,Mary Portman,Mandy Moore,multiple,Sanctuary,That's Me Trying,"['6', '7']"
118,Gladys Pulcher,Doris Roberts,single,It's a Long Way Back,,
119,Nikki Ratlin,Michaela Watkins,single,Superstition,,
120,Marjorie Reed,Eileen Ryan,single,Puzzle With a Piece Missing,,
121,Robbie Reeves,Micah Nelson,single,Roar,,
122,Lily Ann Reilly,Marisol Nichols,single,The World According to Jake,,
123,Melanie Reynolds,Sarah LaFleur,single,Damage Case,,
124,Oliver Richter,Dondré T. Whitfield,single,Golden Hour,,
126,Phillip Robinson,Jason O'Mara,multiple,Where the Wild Things Are,Piece of My Heart,['4']
127,Scott Robinson,Steven Flynn,single,Where the Wild Things Are,,
128,Cathy Rogerson,Catherine Dent,single,My Favorite Mistake,,
129,Emily Russell,Catherine Dent,multiple,Much too Much,Owner of a Lonely Heart,['2']
130,Ruthie Sales,Maggie Siff,single,The Heart of the Matter,,
131,Tony Savitch,David Vegh,single,A Hard Day's Night,,
132,Erin Shandley,Bhama Roget,single,Haunt You Every Day,,
133,Unnamed,no 'Portrayed by' text for character,single,"Gone, Baby, Gone",,
134,Derek Christopher Shepherd,Patrick Dempsey,multiple,GA,Private Practice,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']"
135,Mr. Shepherd,Brice Williams,single,Who We Are,,
136,Lenny Shulte,Josh Clark,single,Seal Our Fate,,
137,David Simons,Trent Gill,single,What a Difference a Day Makes,,
138,"""Cosmo"" Singh",no 'Portrayed by' text for character,single,"There's a Fine, Fine Line",,
139,Mark Everett Sloan,Eric Dane,multiple,GA,Grey's Anatomy,"['2', '3', '4', '5', '6', '7', '8', '9']"
140,Jessica Smithson,Mary-Charles Jones,single,Sweet Surrender,,
141,Drea Spencer,no 'Portrayed by' text for character,single,And Then There Was One,,
142,Edward Squire,Al White,single,Old Time Rock and Roll,,
143,Jeremiah Tate,Thomas Ian Nicholas,single,"Deny, Deny, Deny",,
144,Steve Tate,Shawn-Caulin Young,single,Got to Be Real,,
145,Nancy Temple,Amy Benedict,single,How Insensitive,,
146,Craig Thomas,William Daniels,multiple,Let the Bad Times Roll,Beautiful Doom,"['8', '9']"
147,Kendra Thomas,Jennifer Nyholm,single,17 Seconds,,
148,Giselle Toussant,Elizabeth Goldstein,single,Time Has Come Today,,
149,Stu Vargas,Geoffrey Rivas,single,Let It Be,,
150,Blair Vinson,Mekia Cox,single,Don't Dream It's Over,,
151,Vivian,Ingrid Walters,single,Sanctuary,,
152,Erica Warner,A.J. Langer,multiple,Deal With It,It Was Inevitable,[]
153,Mr. Warren,Kelly LaMarr,single,Things We Said Today,,
154,Jeremy Weaver,James McCauley,single,Don't Let's Start,,
155,Adele Webber,Loretta Devine,multiple,Enough is Enough,Things We Said Today,"['2', '3', '4', '5', '6', '7', '8', '9']"
156,Gail Webber,Monique Cash,single,The Room Where It Happens,,
157,Mickey Wenschler,Jay Cramer,single,Map of You,,
158,Clark West,Nicholas Gonzalez,single,Love/Addiction,,
159,Jeremy West,Marshall Allman,single,"Freedom, Part 1",,
160,William White,James Morrison,multiple,What You Do for Love,The End of a Beautiful Friendship,[]
162,Frances Wilder,Louise Fletcher,multiple,Can't Find My Way Back Home,The Hardest Part,[]
163,Peter Wilder,Tim Daly,multiple,GA,Grey's Anatomy,['3']
164,Rory Williams,Hayley McFarland,single,You've Got to Hide Your Love Away,,
165,Ken Wilson,Matt Riedy,single,"In Which We Meet Addison, a Nice Girl From Somewhere Else",,
166,Bob Yates,Greg Ainsworth,single,Playing God,,
167,Charlie Yost,Jack Axelrod,multiple,Let the Angels Commit,Let the Truth Sting,"['3', '4']"
168,Brian Young,no 'Portrayed by' text for character,single,Who Is He (And What Is He To You)?,,
169,Dylan Young,Kyle Chandler,multiple,It's the End of the World,Some Kind of Miracle,"['2', '3']"
170,Yvonne,Kym Whitley,single,Into You Like a Train,,
