counter,name,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
21,Heather Brooks,['No diagnosis available'],,single,[],All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,[]
22,Teresa Brotherton,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",,single,['S-4-EP-7'],Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,[]
23,Rosemary Bullard,"['Cancer', 'Brain Tumor']",,single,['S-5-EP-7'],Rise_Up,Rise Up,Rise_Up,Rise Up,[]
24,Henry Burton,['No diagnosis available'],,single,[],Rise_Up,Rise Up,Rise_Up,Rise Up,[]
25,Jake Burton,['Advanced craniodiaphyseal dysplasia'],,single,['S-2-EP-18'],Yesterday,Yesterday,Yesterday,Yesterday,[]
26,Rich Campion,"['Mediastinal hematoma', 'Aortic transection']",,single,['S-9-EP-13'],Bad_Blood,Bad Blood,Bad_Blood,Bad Blood,[]
27,Vivian Carlsmith,['Stage IV Gastrocarcinoma'],,single,['S-6-EP-6'],Apron_Strings,Apron Strings,Apron_Strings,Apron Strings,[]
28,Emma Carroll,['Stage IV Gastrocarcinoma'],,single,['S-8-EP-18'],The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,[]
29,Casey (Things We Lost in the Fire),"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",,single,['S-12-EP-8'],Things_We_Lost_in_the_Fire,Things We Lost in the Fire,Things_We_Lost_in_the_Fire,Things We Lost in the Fire,[]
30,Jason Castor,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']",,single,['S-10-EP-17'],Do_You_Know%3F,Do You Know?,Do_You_Know%3F,Do You Know?,[]
31,Alison Clark,['Stage 4 Cancer'],,single,['S-5-EP-23'],Here%27s_to_Future_Days,Here's to Future Days,Here%27s_to_Future_Days,Here's to Future Days,[]
32,Alison Clark (Sympathy for the Parents),"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']",,single,['S-6-EP-19'],Sympathy_for_the_Parents,Sympathy for the Parents,Sympathy_for_the_Parents,Sympathy for the Parents,[]
33,Gary Clark,['Gunshot wound'],,single,[],Sympathy_for_the_Parents,Sympathy for the Parents,Sympathy_for_the_Parents,Sympathy for the Parents,[]
34,Elsie Clatch,"['Syncope', 'Loculated acute on chronic subdural hematoma']",,single,['S-13-EP-17'],Till_I_Hear_It_From_You,Till I Hear It From You,Till_I_Hear_It_From_You,Till I Hear It From You,[]
35,Annie Connors,"['Tumor', 'Difficulty breathing']",,single,['S-1-EP-6'],If_Tomorrow_Never_Comes,If Tomorrow Never Comes,If_Tomorrow_Never_Comes,If Tomorrow Never Comes,[]
36,Liz Cooper,"['High output cardiac failure', 'Blood clot', 'Brain death']",,single,['S-10-EP-22'],We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,[]
37,Louise Cortez,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']",,single,['S-7-EP-8'],Something%27s_Gotta_Give,Something's Gotta Give,Something%27s_Gotta_Give,Something's Gotta Give,[]
38,Darren Covington,"['Malignant glioma', 'Encephalitis']",,single,['S-4-EP-14'],The_Becoming,The Becoming,The_Becoming,The Becoming,[]
39,Bonnie Crasnoff,['Massive internal injuries'],,single,[],The_Becoming,The Becoming,The_Becoming,The Becoming,[]
40,Elyse Cruse,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']",,single,['S-9-EP-19'],Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Can%27t_Fight_This_Feeling,Can't Fight This Feeling,[]
41,Ray Daniels,"['Knee injury', 'Hypertrophic cardiomyopathy']",,single,['S-2-EP-9'],Know_When_to_Fold,Know When to Fold,Know_When_to_Fold,Know When to Fold,[]
42,Danny,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']",,single,['S-11-EP-17'],With_or_Without_You,With or Without You,With_or_Without_You,With or Without You,[]
43,Daphne,"['Infection', 'Septicemia', 'Pseudomonas']",,single,['S-12-EP-12'],My_Next_Life,My Next Life,My_Next_Life,My Next Life,[]
44,Kevin Davidson,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",,single,['S-1-EP-3'],"Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War",[]
45,Troy Davis,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",,single,['S-5-EP-21'],Drifting_Back,Drifting Back,Drifting_Back,Drifting Back,[]
46,Rachel Dawson,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']",,single,[],Drifting_Back,Drifting Back,Drifting_Back,Drifting Back,[]
47,Elena Debray,['Coma'],,single,['S-2-EP-8'],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
48,Kyle Diaz,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']",,single,[],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
49,Doc,['No diagnosis available'],,single,[],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
50,William Dunn,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']",,single,[],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
51,"Denny Duquette, Jr.",['Congestive Heart Failure'],,single,[],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
52,James Evans,['No diagnosis available'],,single,[],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
53,Elizabeth Fallon,['Pancreatic Cancer'],,single,[],Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,[]
54,Jesse Fannon,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",,single,['S-2-EP-21'],Superstition,Superstition,Superstition,Superstition,[]
55,Emile Flores,"['Broken ankle', 'Epidural bleed']",,single,['S-6-EP-14'],Valentine%27s_Day_Massacre,Valentine's Day Massacre,Valentine%27s_Day_Massacre,Valentine's Day Massacre,[]
56,Eugene Foote,"['Broken ankle', 'Epidural bleed']",,single,['S-2-EP-23'],Blues_for_Sister_Someone,Blues for Sister Someone,Blues_for_Sister_Someone,Blues for Sister Someone,[]
57,Bizzy Forbes,['No diagnosis available'],,single,[],Blues_for_Sister_Someone,Blues for Sister Someone,Blues_for_Sister_Someone,Blues for Sister Someone,[]
58,Jordan Franklin,"['Ascites', 'Liver disease', 'Hemochromatosis']",,single,['S-1-EP-9'],Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,[]
59,Peter Gekofsky,['No diagnosis available'],,single,['S-6-EP-18'],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,[]
60,Stan Giamatti,"['Severe bleeding', 'Paralysis']",,single,[],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,[]
61,David Gibbs,['No diagnosis available'],,single,[],Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,[]
62,Brett Gibson,"['Gunshot wounds', 'Stroke', 'Brain death']",,single,['S-11-EP-18'],When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,[]
63,Peter Gibson,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']",,single,['S-11-EP-18'],When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,[]
64,Susan Grant,['No diagnosis available'],,single,[],When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,[]
65,Greta,['Inoperable Glioma'],,single,['S-4-EP-15'],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,[]
66,Ellis Grey,['No diagnosis available'],,single,[],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,[]
67,Lexie Grey,['No diagnosis available'],,single,[],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,[]
68,Susan Grey,['No diagnosis available'],,single,[],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,[]
69,Nick Hanscom,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']",,single,[],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,[]
70,Jen Harmon,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']",,single,[],Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,[]
