counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
63,Peter Gibson,n/a,single,When I Grow Up,,
64,Susan Grant,Ann Cusack,multiple,Blowups,Blind Love,[]
65,Greta,n/a,single,Losing My Mind,,
66,Ellis Grey,Kate Burton,multiple,A Hard Day's Night,"Who Lives, Who Dies, Who Tells Your Story","['1', '2', '3', '6', '8', '11', '14']"
67,Alexandra Caroline Grey,Chyler Leigh,multiple,GA,Grey's Anatomy,"['3', '4', '5', '6', '7', '8']"
68,Susan Grey,Mare Winningham,multiple,The Name of the Game,"The Other Side of This Life, Part 2","['2', '3']"
69,Nick Hanscom,Seth Green,multiple,"Crash Into Me, Part 1","Crash Into Me, Part 2",['4']
70,Jen Harmon,Jennifer Westfeldt,multiple,GA,Grey's Anatomy,['5']
71,Randy Helsby,n/a,single,Tainted Obligation,,
72,Emily Jensen,n/a,single,"Could We Start Again, Please?",,
73,Kirk Jensen,n/a,single,Equal and Opposite,,
74,JJ,n/a,single,She's Leaving Home,,
75,Jordan,n/a,single,What a Difference a Day Makes,,
76,Lillie Jordan,n/a,single,Slip Slidin' Away,,
77,Kathleen Kane,n/a,single,Everybody's Crying Mercy,,
78,Kara,n/a,single,The Hard Part,,
79,Veronica Kays,Brigid Brannagh,multiple,Roar,Don't Stop Me Now,['13']
80,Keith,n/a,single,True Colors (Grey's Anatomy),,
81,Jordan Kenley,n/a,single,Wish You Were Here,,
82,Vincent Kenner,n/a,multiple,"Dream a Little Dream of Me, Part 1","Dream a Little Dream of Me, Part 2",['5']
83,Ryan Kerrigan,Wes Brown,multiple,If I Hadn't Forgotten...,Who We Are,[]
84,Daniel Kiefer,n/a,single,I Choose You,,
85,Jeffrey King,n/a,single,"Come on Down to My Boat, Baby",,
86,Seth Lepik,Tom Costello,multiple,She's Killing Me,Sleeping Monster,['9']
87,Billy Linneman,n/a,single,Suicide is Painless,,
88,Brett Loveman,n/a,single,Home Again,,
89,Robert Martin,Curtis Armstrong,multiple,Much too Much,Owner of a Lonely Heart,['2']
90,Matty,n/a,single,It Only Gets Much Worse,,
91,Griffin McColl,n/a,single,Odd Man Out,,
92,Gretchen McKay,n/a,single,"There's a Fine, Fine Line",,
93,Holden McKee,n/a,single,Thanks for the Memories,,
94,Francesca McNeil,Harley Graham,multiple,You Be Illin',Change of Heart,['10']
95,Donald Mercer,n/a,single,Throwing it All Away,,
96,Michael,n/a,single,One Step Too Far,,
97,Michelle,Sydney Tamiia Poitier,multiple,Love and Lies,Step One,[]
98,Timothy Miller,n/a,single,These Ties That Bind,,
99,Dan Mooney,n/a,single,Suicide is Painless,,
100,Gloria Murphy,n/a,single,You Break My Heart,,
101,Reilly Nash,n/a,single,"Slow Night, So Long",,
102,Nate,n/a,single,In Which Dell Finds His Fight,,
103,Phillip Nichols,n/a,single,The Time Warp,,
104,Nick,Jordan Belfi,multiple,Let the Bad Times Roll,Migration,['8']
105,Benjamin O'Leary,n/a,single,I Am a Tree,,
106,George O'Malley,T.R. Knight,multiple,A Hard Day's Night,Good Mourning,"['1', '2', '3', '4', '5', '6']"
107,Harold O'Malley,George Dzundza,multiple,Thanks for the Memories,"Six Days, Part 2","['2', '3']"
108,Bradley Parker,n/a,single,Transplant Wasteland,,
109,William Dell Parker,Chris Lowell,multiple,GA,Grey's Anatomy,['3']
110,Heather Parker,Agnes Bruckner,multiple,Contamination,Blowups,[]
111,Charles Percy,Robert Baker,multiple,Invasion,Unbreak My Heart,"['6', '8', '12']"
112,Michael Perkins,n/a,single,Contamination,,
113,Mr. Peterson,n/a,single,I Must Have Lost It on the Wind,,
114,Thomas Peterson,n/a,multiple,Have You Seen Me Lately?,Moment of Truth,['8']
115,Phillip,n/a,single,What You Do for Love,,
116,Diane Pierce,LaTanya Richardson Jackson,multiple,None of Your Business,"Be Still, My Soul",['13']
117,Mary Portman,Mandy Moore,multiple,Sanctuary,That's Me Trying,"['6', '7']"
118,Gladys Pulcher,n/a,single,It's a Long Way Back,,
119,Nikki Ratlin,n/a,single,Superstition,,
120,Marjorie Reed,n/a,single,Puzzle With a Piece Missing,,
121,Robbie Reeves,n/a,single,Roar,,
122,Lily Ann Reilly,n/a,single,The World According to Jake,,
123,Melanie Reynolds,n/a,single,Damage Case,,
124,Oliver Richter,n/a,single,Golden Hour,,
126,Phillip Robinson,Jason O'Mara,multiple,Where the Wild Things Are,Piece of My Heart,['4']
127,Scott Robinson,n/a,single,Where the Wild Things Are,,
128,Cathy Rogerson,n/a,single,My Favorite Mistake,,
129,Emily Russell,n/a,multiple,Much too Much,Owner of a Lonely Heart,['2']
130,Ruthie Sales,n/a,single,The Heart of the Matter,,
131,Tony Savitch,n/a,single,A Hard Day's Night,,
132,Erin Shandley,n/a,single,Haunt You Every Day,,
133,Unnamed,n/a,single,"Gone, Baby, Gone",,
134,Derek Christopher Shepherd,Patrick Dempsey,multiple,GA,Private Practice,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']"
135,Mr. Shepherd,n/a,single,Who We Are,,
136,Lenny Shulte,n/a,single,Seal Our Fate,,
137,David Simons,n/a,single,What a Difference a Day Makes,,
138,"""Cosmo"" Singh",n/a,single,"There's a Fine, Fine Line",,
139,Mark Everett Sloan,Eric Dane,multiple,GA,Grey's Anatomy,"['2', '3', '4', '5', '6', '7', '8', '9']"
140,Jessica Smithson,n/a,single,Sweet Surrender,,
141,Drea Spencer,n/a,single,And Then There Was One,,
142,Edward Squire,n/a,single,Old Time Rock and Roll,,
143,Jeremiah Tate,n/a,single,"Deny, Deny, Deny",,
144,Steve Tate,n/a,single,Got to Be Real,,
145,Nancy Temple,n/a,single,How Insensitive,,
146,Craig Thomas,William Daniels,multiple,Let the Bad Times Roll,Beautiful Doom,"['8', '9']"
147,Kendra Thomas,Jennifer Nyholm,single,17 Seconds,,
148,Giselle Toussant,n/a,single,Time Has Come Today,,
149,Stu Vargas,n/a,single,Let It Be,,
150,Blair Vinson,n/a,single,Don't Dream It's Over,,
151,Vivian,n/a,single,Sanctuary,,
152,Erica Warner,A.J. Langer,multiple,Deal With It,It Was Inevitable,[]
153,Mr. Warren,n/a,single,Things We Said Today,,
154,Jeremy Weaver,n/a,single,Don't Let's Start,,
155,Adele Webber,Loretta Devine,multiple,Enough is Enough,Things We Said Today,"['2', '3', '4', '5', '6', '7', '8', '9']"
156,Gail Webber,n/a,single,The Room Where It Happens,,
157,Mickey Wenschler,n/a,single,Map of You,,
158,Clark West,n/a,single,Love/Addiction,,
159,Jeremy West,n/a,single,"Freedom, Part 1",,
160,William White,James Morrison,multiple,What You Do for Love,The End of a Beautiful Friendship,[]
162,Frances Wilder,Louise Fletcher,multiple,Can't Find My Way Back Home,The Hardest Part,[]
163,Peter Wilder,Tim Daly,multiple,GA,Grey's Anatomy,['3']
164,Rory Williams,n/a,single,You've Got to Hide Your Love Away,,
165,Ken Wilson,n/a,single,"In Which We Meet Addison, a Nice Girl From Somewhere Else",,
166,Bob Yates,n/a,single,Playing God,,
167,Charlie Yost,Jack Axelrod,multiple,Let the Angels Commit,Let the Truth Sting,"['3', '4']"
168,Brian Young,n/a,single,Who Is He (And What Is He To You)?,,
169,Dylan Young,Kyle Chandler,multiple,It's the End of the World,Some Kind of Miracle,"['2', '3']"
170,Yvonne,n/a,single,Into You Like a Train,,
