counter,name,character_type,diagnosis,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
13,Alexander Ball,patient,['Stage IV-B pancreatic cancer'],"['Chemotherapy', 'Acupuncture', 'Euthanasia']",Joel Grey,single,"['S-2-EP-13', 'S-2-EP-13']",Nothing_to_Fear,Nothing to Fear,Nothing_to_Fear,Nothing to Fear,['2']
14,Joyce Basche,patient,"['MRSA', 'Abscess']",['Cefazolin'],Sarah Lilly,multiple,"['S-9-EP-20', 'S-9-EP-21']",She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
15,Cathy Becker,patient,"['Burns', 'Second-degree burn', 'Tension pneumothorax', 'Pulmonary edema', 'Acute respiratory distress syndrome', 'Fulminant rhabdomyolysis', 'Multi-system organ failure', 'Disseminated intravascular coagulation']","['Debridement', 'Silver sulfadiazine', 'Cefazolin', 'Ibuprofen', 'Morphine', 'Chest tube', 'Cricothyrotomy', 'Oxygen', 'Central line']",Erinn Hayes,single,"['S-6-EP-6', 'S-6-EP-6']",I_Saw_What_I_Saw,I Saw What I Saw,I_Saw_What_I_Saw,I Saw What I Saw,['6']
16,Ed Beckert,patient,"[""Alzheimer's disease"", 'Heart condition', 'Myocardial infarction']",['No treatment available'],Newell Alexander,single,"['S-7-EP-19', 'S-7-EP-19']",It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
17,Grace Bickham,patient,['End-stage COPD'],"['Hospice care', 'Intubation']",Dona Hardy,single,"['S-2-EP-15', 'S-2-EP-15']",Break_on_Through,Break on Through,Break_on_Through,Break on Through,['2']
18,Andrew Billings,patient,"['Cardiac myxoma', 'Brain death']",['Tumor resection'],Don R. Williams,single,"['S-13-EP-5', 'S-13-EP-5']",Both_Sides_Now,Both Sides Now,Both_Sides_Now,Both Sides Now,['13']
19,Charlie Bilson,patient,"['Crush injuries', 'Internal bleeding', 'Broken nose']",['Surgery'],John Pollono,single,"['S-8-EP-14', 'S-8-EP-14']",All_You_Need_is_Love,All You Need is Love,All_You_Need_is_Love,All You Need is Love,['8']
20,Dr. Bones,others,['No diagnosis available'],['No treatment available'],No actor listed.,multiple,['S-3-EP-1'],Time_Has_Come_Today,Time Has Come Today,,,['3']
21,Heather Brooks,intern resident,['No diagnosis available'],['No treatment available'],Tina Majorino,multiple,"['S-9-EP-1', 'S-10-EP-2']","Going,_Going,_Gone","Going, Going, Gone",I_Want_You_With_Me,I Want You With Me,"['9', '10']"
22,Teresa Brotherton,patient,"['Tension pneumothorax', 'Fracture ribs', 'Hemothorax', 'Punctured lung']",['Surgery'],Enuka Okuma,single,"['S-4-EP-7', 'S-4-EP-7']",Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,Physical_Attraction..._Chemical_Reaction,Physical Attraction... Chemical Reaction,['4']
23,Rosemary Bullard,patient,"['Cancer', 'Brain Tumor']",['Tumor resection'],Bonnie Bartlett,single,"['S-5-EP-7', 'S-5-EP-7']",Rise_Up,Rise Up,Rise_Up,Rise Up,['5']
24,Henry Burton,family,['No diagnosis available'],['No treatment available'],Scott Foley,multiple,"['S-7-EP-10', 'S-8-EP-10']",Adrift_and_at_Peace,Adrift and at Peace,Suddenly,Suddenly,"['7', '8']"
25,Jake Burton,patient,['Advanced craniodiaphyseal dysplasia'],"['Tumor resection', 'Plastic surgery']",Jesse Plemons,single,"['S-2-EP-18', 'S-2-EP-18']",Yesterday,Yesterday,Yesterday,Yesterday,['2']
26,Rich Campion,patient,"['Mediastinal hematoma', 'Aortic transection']",['Endovascular repair'],Jordan Holland,single,"['S-9-EP-13', 'S-9-EP-13']",Bad_Blood,Bad Blood,Bad_Blood,Bad Blood,['9']
27,Vivian Carlsmith,patient,['Stage IV Gastrocarcinoma'],['Pain Management'],Deanna Dunagan,single,"['S-6-EP-6', 'S-6-EP-6']",Apron_Strings,Apron Strings,Apron_Strings,Apron Strings,['6']
28,Emma Carroll,patient,['No diagnosis available'],['Attempted resuscitation'],Elizabeth Franz,single,"['S-8-EP-18', 'S-8-EP-18']",The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,The_Lion_Sleeps_Tonight,The Lion Sleeps Tonight,['8']
29,Casey (Things We Lost in the Fire),patient,"['Burns', 'Severe lung damage', 'Smoke inhalation', 'Partially-collapsed lung', 'Heart failure', 'Rhabdomyolysis']",['Palliative care'],Casey Sander,single,"['S-12-EP-8', 'S-12-EP-8']",Things_We_Lost_in_the_Fire,Things We Lost in the Fire,Things_We_Lost_in_the_Fire,Things We Lost in the Fire,['12']
30,Jason Castor,patient,"['Hole in his pericardium', 'C3/C4 break', 'Severed Spinal Cord/Paralysis']","['Surgery', 'Ventilator']",Charlie Hofheimer,single,"['S-10-EP-17', 'S-10-EP-17']",Do_You_Know%3F,Do You Know?,Do_You_Know%3F,Do You Know?,['10']
31,Alison Clark,patient,['Stage 4 Cancer'],['I.L. 2'],Liza Weil,single,"['S-5-EP-23', 'S-5-EP-23']",Here%27s_to_Future_Days,Here's to Future Days,Here%27s_to_Future_Days,Here's to Future Days,['5']
32,Alison Clark (Sympathy for the Parents),patient,"['Anemia', 'Internal bleeding', 'Abdominal tumor', 'Acute hemorrhagic stroke', 'Temporal hemorrhage', 'Brain death']","['Surgery', 'Mechanical ventilation']",Caroline Williams,single,"['S-6-EP-19', 'S-6-EP-19']",Sympathy_for_the_Parents,Sympathy for the Parents,Sympathy_for_the_Parents,Sympathy for the Parents,['6']
33,Gary Clark,patient,['Gunshot wound'],['Pressure gauze'],Michael O'Neill,multiple,"['S-6-EP-19', 'S-6-EP-24']",Sympathy_for_the_Parents,Sympathy for the Parents,Death_and_All_His_Friends,Death and All His Friends,['6']
34,Elsie Clatch,patient,"['Syncope', 'Loculated acute on chronic subdural hematoma']",['Craniotomy'],June Squibb,single,"['S-13-EP-17', 'S-13-EP-17']",Till_I_Hear_It_From_You,Till I Hear It From You,Till_I_Hear_It_From_You,Till I Hear It From You,['13']
35,Annie Connors,patient,"['Tumor', 'Difficulty breathing']",['Tumor resection'],Alex S. Alexander,single,"['S-1-EP-6', 'S-1-EP-6']",If_Tomorrow_Never_Comes,If Tomorrow Never Comes,If_Tomorrow_Never_Comes,If Tomorrow Never Comes,['1']
36,Liz Cooper,patient,"['High output cardiac failure', 'Blood clot', 'Brain death']",['Separation surgery'],Megan Stier,single,"['S-10-EP-22', 'S-10-EP-22']",We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,We_Are_Never_Ever_Getting_Back_Together,We Are Never Ever Getting Back Together,['10']
37,Louise Cortez,patient,"['Chronic pancreatitis', 'Pancreatic fistula', 'Ruptured splenic artery']","['Drain', 'Surgery']",Bridget Sienna,single,"['S-7-EP-8', 'S-7-EP-8']",Something%27s_Gotta_Give,Something's Gotta Give,Something%27s_Gotta_Give,Something's Gotta Give,['7']
38,Darren Covington,patient,"['Malignant glioma', 'Encephalitis']","['Surgery', 'Clinical trial']",Benny Ciaramello,single,"['S-4-EP-14', 'S-4-EP-14']",The_Becoming,The Becoming,The_Becoming,The Becoming,['4']
39,Bonnie Crasnoff,patient,['Massive internal injuries'],['Surgery'],Monica Keena,multiple,"['S-2-EP-6', 'S-3-EP-17']",Into_You_Like_a_Train,Into You Like a Train,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
40,Elyse Cruse,patient,"['Abdominal bruising', 'Second-degree burns', 'Prolapsed cord']","['C-section delivery', 'Surgery']",Kate Rene Gleason,single,"['S-9-EP-19', 'S-9-EP-19']",Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Can%27t_Fight_This_Feeling,Can't Fight This Feeling,['9']
41,Ray Daniels,patient,"['Knee injury', 'Hypertrophic cardiomyopathy']",['Medicine'],Jeffrey Pierce,single,"['S-2-EP-9', 'S-2-EP-9']",Know_When_to_Fold,Know When to Fold,Know_When_to_Fold,Know When to Fold,['2']
42,Danny,patient,"['Biliary atresia', 'Chronic liver rejection', 'Cholangitis']","['Albumin', 'Surgery', 'Shunt']",Alexander Walsh,single,"['S-11-EP-17', 'S-11-EP-17']",With_or_Without_You,With or Without You,With_or_Without_You,With or Without You,['11']
43,Daphne,patient,"['Infection', 'Septicemia', 'Pseudomonas']","['FFP', 'Surgery']",Meredith Salenger,single,"['S-12-EP-12', 'S-12-EP-12']",My_Next_Life,My Next Life,My_Next_Life,My Next Life,['12']
44,Kevin Davidson,patient,"['Cerebral edema', 'Traumatic aortic injury', 'Brain Death']",['Organ Harvest'],No actor listed.,single,"['S-1-EP-3', 'S-1-EP-3']","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War","Winning_a_Battle,_Losing_the_War","Winning a Battle, Losing the War",['1']
45,Troy Davis,patient,"['Cardiomyopathy', 'Florid pulmonary edema', 'End-stage heart failure']",['Mechanical ventilation'],Doug Simpson,single,"['S-5-EP-21', 'S-5-EP-21']",Drifting_Back,Drifting Back,Drifting_Back,Drifting Back,['5']
46,Rachel Dawson,patient,"['Frontal lobe hemorrhage', 'Temporal lobe hemorrhage', 'Capgras syndrome', 'Seizure', 'Brain hemorrhage']","['Brain surgery', 'Mannitol', 'CPR']",Enid Graham,multiple,"['S-9-EP-19', 'S-9-EP-21']",Can%27t_Fight_This_Feeling,Can't Fight This Feeling,Sleeping_Monster,Sleeping Monster,['9']
47,Elena Debray,patient,['Coma'],"['Terbutaline', 'Life Support', 'C-Section delivery']",No actor listed.,single,"['S-2-EP-8', 'S-2-EP-8']",Crime_and_Punishment,Crime and Punishment,Crime_and_Punishment,Crime and Punishment,['2']
48,Kyle Diaz,patient,"['Multiple sclerosis', 'Hand tremor', 'Brain bleed', 'Meningitis', 'Sepsis', 'Periventricular abscess']","['Deep brain stimulation', 'Antibiotics', 'Drainage', 'Ventricular washout']",Wilmer Valderrama,multiple,"['S-12-EP-17', 'S-12-EP-23']",I_Wear_the_Face,I Wear the Face,At_Last,At Last,['12']
49,Doc,family,['No diagnosis available'],['No treatment available'],No actor listed.,multiple,"['S-2-EP-11', 'S-3-EP-17']",Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
50,William Dunn,patient,"['Stab wounds', 'Beating injuries', 'Scalp laceration', 'Foreign body in spine', 'Brain contusions', 'Seizure']","['Surgical extraction', 'Nephrectomy', 'Lorazepam', 'Surgery']",Eric Stoltz,multiple,"['S-5-EP-11', 'S-5-EP-13']",Wish_You_Were_Here,Wish You Were Here,Stairway_to_Heaven,Stairway to Heaven,['5']
51,"Denny Duquette, Jr.",patient,['Congestive Heart Failure'],"['LVAD', 'Heart Transplant']",Jeffrey Dean Morgan,multiple,"['S-2-EP-13', 'S-5-EP-23']",Begin_the_Begin,Begin the Begin,Here%27s_to_Future_Days,Here's to Future Days,"['2', '5']"
52,James Evans,family,['No diagnosis available'],['No treatment available'],James Remar,multiple,"['S-10-EP-4', 'S-10-EP-13']",Puttin%27_on_the_Ritz,Puttin' on the Ritz,Take_It_Back,Take It Back,['10']
53,Elizabeth Fallon,patient,['Pancreatic Cancer'],['Palliative Care'],Anna Maria Horsford,multiple,"['S-1-EP-4', 'S-3-EP-17']",No_Man%27s_Land,No Man's Land,Some_Kind_of_Miracle,Some Kind of Miracle,"['1', '3']"
54,Jesse Fannon,patient,"['Obsessive-compulsive disorder', 'Blunt head trauma', 'Brain bleed']",['Surgery'],Omar Metwally,single,"['S-2-EP-21', 'S-2-EP-21']",Superstition,Superstition,Superstition,Superstition,['2']
55,Emile Flores,patient,"['Broken ankle', 'Epidural bleed']","['Reduction', 'Casting', 'Surgery']",Brian George,single,"['S-6-EP-14', 'S-6-EP-14']",Valentine%27s_Day_Massacre,Valentine's Day Massacre,Valentine%27s_Day_Massacre,Valentine's Day Massacre,['6']
56,Eugene Foote,patient,['No diagnosis available'],['Surgical Removal of Pacemaker'],Albert Hall,single,"['S-2-EP-23', 'S-2-EP-23']",Blues_for_Sister_Someone,Blues for Sister Someone,Blues_for_Sister_Someone,Blues for Sister Someone,['2']
57,Jordan Franklin,patient,"['Ascites', 'Liver disease', 'Hemochromatosis']",['Paracentesis'],Jack Shearer,single,"['S-1-EP-9', 'S-1-EP-9']",Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,Who%27s_Zoomin%27_Who%3F,Who's Zoomin' Who?,['1']
58,Peter Gekofsky,attending,['No diagnosis available'],['No treatment available'],Aaron Perilo,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
59,Stan Giamatti,patient,"['Severe bleeding', 'Paralysis']",['No treatment available'],Theo Rossi,multiple,"['S-4-EP-9', 'S-4-EP-10']","Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
60,David Gibbs,patient,['No diagnosis available'],['No treatment available'],Michael B. Silver,multiple,"['S-5-EP-1', 'S-5-EP-12']",God_Laughs,God Laughs,Losing_Battles,Losing Battles,['5']
61,Brett Gibson,patient,"['Gunshot wounds', 'Stroke', 'Brain death']","['Cricothyrotomy', 'Surgery', 'Tracheal repair', 'Organ harvest']",William Nicol,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
62,Peter Gibson,patient,"['Gunshot wounds', 'Traumatic arrest', 'Brain death']","['Subclavian line', 'Chest tubes', 'Organ harvest']",Jake Green,single,"['S-11-EP-18', 'S-11-EP-18']",When_I_Grow_Up,When I Grow Up,When_I_Grow_Up,When I Grow Up,['11']
63,Susan Grant,family,['No diagnosis available'],['No treatment available'],Ann Cusack,multiple,"['S-3-EP-10', 'S-4-EP-13']",Blowups,Blowups,Blind_Love,Blind Love,"['3', '4']"
64,Greta,patient,['Inoperable Glioma'],['Clinical Trial'],Regina Taylor,single,"['S-4-EP-15', 'S-4-EP-15']",Losing_My_Mind,Losing My Mind,Losing_My_Mind,Losing My Mind,['4']
65,Ellis Grey,family,['No diagnosis available'],['No treatment available'],Kate Burton,multiple,"['S-1-EP-1', 'S-14-EP-7']",A_Hard_Day%27s_Night,A Hard Day's Night,"Who_Lives,_Who_Dies,_Who_Tells_Your_Story","Who Lives, Who Dies, Who Tells Your Story","['1', '14']"
66,Lexie Grey,intern resident,['No diagnosis available'],['No treatment available'],Chyler Leigh,multiple,"['S-ERROR-EP-ERROR', 'S-8-EP-24']",Grey%27s_Anatomy,Grey's Anatomy,Flight,Flight,['8']
67,Susan Grey,family,['No diagnosis available'],['No treatment available'],Mare Winningham,multiple,"['S-2-EP-22', 'S-3-EP-23']",The_Name_of_the_Game,The Name of the Game,"The_Other_Side_of_This_Life,_Part_2","The Other Side of This Life, Part 2","['2', '3']"
68,Nick Hanscom,patient,"['Carotid tumor', 'Blown artery', 'Carotid bleed', 'Stroke']","['Tumor resection', 'Pressure dressing', 'Surgery']",Seth Green,multiple,"['S-4-EP-9', 'S-4-EP-10']","Crash_Into_Me,_Part_1","Crash Into Me, Part 1","Crash_Into_Me,_Part_2","Crash Into Me, Part 2",['4']
69,Jen Harmon,patient,"['Pregnancy', 'Pregnancy-induced hypertension', 'Seizure', 'Aneurysm', 'Mirror Syndrome', 'Congestive heart failure', 'Hemolysis', 'Fetal anemia', 'Aphasia', 'Mini-strokes', 'Pre-eclampsia']","['Craniotomy', 'Bronchodilator', 'Intrauterine transfusion', 'Steroids', 'EC/IC bypass', 'Temporal lobectomy', 'C-section delivery']",Jennifer Westfeldt,multiple,"['S-ERROR-EP-ERROR', 'S-5-EP-16']",Grey%27s_Anatomy,Grey's Anatomy,An_Honest_Mistake,An Honest Mistake,['5']
70,Randy Helsby,patient,['Abdominal sarcoma'],['Surgery'],Jocko Sims,single,"['S-6-EP-4', 'S-6-EP-4']",Tainted_Obligation,Tainted Obligation,Tainted_Obligation,Tainted Obligation,['6']
71,Emily Jensen,patient,"['Pregnancy', 'Placenta Percreta']",['C-section delivery'],Luciana Faulhaber,single,"['S-11-EP-7', 'S-11-EP-7']","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?","Could_We_Start_Again,_Please%3F","Could We Start Again, Please?",['11']
72,Kirk Jensen,patient,['Bronchiolitis obliterans'],"['Oral medication', 'Intubation', 'Mechanical ventilation']",Ian Nelson,single,"['S-2-EP-2', 'S-2-EP-2']",Equal_and_Opposite,Equal and Opposite,Equal_and_Opposite,Equal and Opposite,['2']
73,JJ,patient,['Severe burns'],['Debridement'],Nicole Sullivan,single,"['S-11-EP-22', 'S-11-EP-22']",She%27s_Leaving_Home,She's Leaving Home,She%27s_Leaving_Home,She's Leaving Home,['11']
74,Jordan,patient,['No diagnosis available'],['No treatment available'],Roberto Urbina,single,"['S-5-EP-22', 'S-5-EP-22']",What_a_Difference_a_Day_Makes,What a Difference a Day Makes,What_a_Difference_a_Day_Makes,What a Difference a Day Makes,['5']
75,Lillie Jordan,patient,['Stage IV ovarian cancer'],"['Chemotherapy', 'Hysterectomy', 'Morphine']",Rosalind Chao,single,"['S-3-EP-6', 'S-3-EP-6']",Slip_Slidin%27_Away,Slip Slidin' Away,Slip_Slidin%27_Away,Slip Slidin' Away,['3']
76,Kathleen Kane,patient,"[""Colles' fracture"", 'Puncture wounds', 'Coagulation disorder', 'Stroke']","['Surgery', 'Splinting']",Molly Leland,single,"['S-10-EP-3', 'S-10-EP-3']",Everybody%27s_Crying_Mercy,Everybody's Crying Mercy,Everybody%27s_Crying_Mercy,Everybody's Crying Mercy,['10']
77,Kara (The Hard Part),patient,"['Pregnancy', 'Dehydration', 'Broken rib', 'Arm injury']",['Vaginal delivery'],Ever Carradine,single,"['S-3-EP-7', 'S-3-EP-7']",The_Hard_Part,The Hard Part,The_Hard_Part,The Hard Part,['3']
78,Veronica Kays,patient,"['Contact dermatitis', 'Pregnancy', 'Advanced pancreatic cancer', 'Spinal met', 'Pulmonary embolus']","['Whipple', 'C-section delivery']",Brigid Brannagh,multiple,"['S-13-EP-6', 'S-13-EP-21']",Roar,Roar,Don%27t_Stop_Me_Now,Don't Stop Me Now,['13']
79,Keith,patient,"['Bruising', 'Head laceration', 'Skull fracture', 'Grade III liver laceration']",['Stitches'],Casey Thomas Brown,single,"['S-13-EP-23', 'S-13-EP-23']",True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),['13']
80,Jordan Kenley,attending,['No diagnosis available'],['No treatment available'],John Sloman,single,"['S-5-EP-11', 'S-5-EP-11']",Wish_You_Were_Here,Wish You Were Here,Wish_You_Were_Here,Wish You Were Here,['5']
81,Vincent Kenner,patient,"['Scalp laceration', 'Depressed skull fracture', 'Abdominal bleed', 'Crush injuries', 'Aortic tear']",['Surgery'],No actor listed.,multiple,"['S-5-EP-1', 'S-5-EP-2']","Dream_a_Little_Dream_of_Me,_Part_1","Dream a Little Dream of Me, Part 1","Dream_a_Little_Dream_of_Me,_Part_2","Dream a Little Dream of Me, Part 2",['5']
82,Ryan Kerrigan,others,['No diagnosis available'],['No treatment available'],Wes Brown,multiple,"['S-5-EP-6', 'S-5-EP-8']",If_I_Hadn%27t_Forgotten...,If I Hadn't Forgotten...,Who_We_Are,Who We Are,['5']
83,Daniel Kiefer,patient,"['Hepatoblastoma', 'Jaundice', 'Heart failure', 'Pulmonary failure']",['Tumor resection'],No actor listed.,single,"['S-12-EP-3', 'S-12-EP-3']",I_Choose_You,I Choose You,I_Choose_You,I Choose You,['12']
84,Jeffrey King,patient,"['Stage 4A colon cancer', 'Liver metastasis']",['ALPPS procedure'],David Chisum,single,"['S-14-EP-6', 'S-14-EP-6']","Come_on_Down_to_My_Boat,_Baby","Come on Down to My Boat, Baby","Come_on_Down_to_My_Boat,_Baby","Come on Down to My Boat, Baby",['14']
85,Seth Lepik,patient,['MRSA'],"['Arteriovenous shunt', 'Antibiotics', 'Surgery']",Tom Costello,multiple,"['S-9-EP-20', 'S-9-EP-21']",She%27s_Killing_Me,She's Killing Me,Sleeping_Monster,Sleeping Monster,['9']
86,Billy Linneman,patient,['Gunshot wounds'],['Bandages'],Kinsey McLean,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
87,Brett Loveman,patient,['No diagnosis available'],['Talk therapy'],Todd Stashwick,single,"['S-4-EP-14', 'S-4-EP-14']",Home_Again,Home Again,Home_Again,Home Again,['4']
88,Robert Martin,patient,"['Subdural hemorrhage', 'Delirium', ""Rathke's cleft cyst"", 'Hyponatremia', 'Seizure']","['Hypertonic saline solution', 'Surgery']",Curtis Armstrong,multiple,"['S-2-EP-10', 'S-2-EP-11']",Much_too_Much,Much too Much,Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,['2']
89,Matty,patient,['Gallstones'],"['Laparascopic cholecystectomy', 'Exploratory laparotomy']",Edgar Salas,single,"['S-13-EP-13', 'S-13-EP-13']",It_Only_Gets_Much_Worse,It Only Gets Much Worse,It_Only_Gets_Much_Worse,It Only Gets Much Worse,['13']
90,Griffin McColl,patient,"['Electrocution', 'Intracranial bleed', 'Re-bleed', 'Memory loss']","['Pacemaker implantation', 'Surgery', 'Ventriculostomy']",Lance Henriksen,single,"['S-12-EP-14', 'S-12-EP-14']",Odd_Man_Out,Odd Man Out,Odd_Man_Out,Odd Man Out,['12']
91,Gretchen McKay,patient,"['Pregnancy', 'Delayed abruption']",['C-section delivery'],Linara Washington,single,"['S-12-EP-18', 'S-12-EP-18']","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line",['12']
92,Holden McKee,patient,"['Minimal consciousness', 'Temporal parietal scalp laceration', 'Epidural hematoma']","['Residential care', 'Stitches', 'Amphetamines', 'Surgery']",Brian Kerwin,single,"['S-2-EP-9', 'S-2-EP-9']",Thanks_for_the_Memories,Thanks for the Memories,Thanks_for_the_Memories,Thanks for the Memories,['2']
93,Francesca McNeil,patient,"['Cardiomyopathy', 'Heart failure', 'RAF 1 Mutation']","['Atropine', 'Pacemaker', 'LVAD', 'Heart Transplant', 'Total Artificial Heart']",Harley Graham,multiple,"['S-10-EP-18', 'S-10-EP-21']",You_Be_Illin%27,You Be Illin',Change_of_Heart,Change of Heart,['10']
94,Donald Mercer,patient,"['Skull fracture', 'MVC Injuries']","['Resuscitation', 'Life Support']",No actor listed.,single,"['S-10-EP-15', 'S-10-EP-15']",Throwing_it_All_Away,Throwing it All Away,Throwing_it_All_Away,Throwing it All Away,['10']
95,Michael,patient,['Car accident injuries'],['Mechanical ventilation'],No actor listed.,single,"['S-8-EP-17', 'S-8-EP-17']",One_Step_Too_Far,One Step Too Far,One_Step_Too_Far,One Step Too Far,['8']
96,Michelle,patient,"[""Huntington's disease"", 'Respiratory distress']",['Flumazenil'],Sydney Tamiia Poitier,multiple,"['S-4-EP-16', 'S-5-EP-5']",Love_and_Lies,Love and Lies,Step_One,Step One,"['4', '5']"
97,Timothy Miller,patient,"['Crush injuries', 'Open fractures', 'Open femur fracture', 'Posterior hip dislocation']",['Surgery'],Ed Lauter,single,"['S-5-EP-8', 'S-5-EP-8']",These_Ties_That_Bind,These Ties That Bind,These_Ties_That_Bind,These Ties That Bind,['5']
98,Dan Mooney,patient,"['Arm injury', 'Neck laceration']",['Tourniquet'],Richard T. Jones,single,"['S-6-EP-18', 'S-6-EP-18']",Suicide_is_Painless,Suicide is Painless,Suicide_is_Painless,Suicide is Painless,['6']
99,Gloria Murphy,patient,"['Congestive heart failure', 'Pregnancy']","['Vaginal delivery', 'Surgery']",Dahlia Sale
