counter,name,actor,single_or_multiple_episodes,first_ep,last_ep,seasons_array
80,Keith,True Colors,single,True Colors (Grey's Anatomy),,
81,Jordan Kenley,Wish You Were Here,single,Wish You Were Here,,
82,Vincent Kenner,Wish You Were Here,multiple,"Dream a Little Dream of Me, Part 1","Dream a Little Dream of Me, Part 2",['5']
83,Ryan Kerrigan,Wes Brown,multiple,If I Hadn't Forgotten...,Who We Are,[]
84,Daniel Kiefer,I Choose You,single,I Choose You,,
85,Jeffrey King,"Come on Down to My Boat, Baby",single,"Come on Down to My Boat, Baby",,
86,Seth Lepik,Tom Costello,multiple,She's Killing Me,Sleeping Monster,['9']
87,Billy Linneman,Suicide is Painless,single,Suicide is Painless,,
88,Brett Loveman,Home Again,single,Home Again,,
89,Robert Martin,Curtis Armstrong,multiple,Much too Much,Owner of a Lonely Heart,['2']
90,Matty,It Only Gets Much Worse,single,It Only Gets Much Worse,,
91,Griffin McColl,Odd Man Out,single,Odd Man Out,,
92,Gretchen McKay,"There's a Fine, Fine Line",single,"There's a Fine, Fine Line",,
93,Holden McKee,Thanks for the Memories,single,Thanks for the Memories,,
94,Francesca McNeil,Harley Graham,multiple,You Be Illin',Change of Heart,['10']
95,Donald Mercer,Throwing it All Away,single,Throwing it All Away,,
96,Michael,One Step Too Far,single,One Step Too Far,,
97,Michelle,Sydney Tamiia Poitier,multiple,Love and Lies,Step One,[]
98,Timothy Miller,These Ties That Bind,single,These Ties That Bind,,
99,Dan Mooney,Suicide is Painless,single,Suicide is Painless,,
100,Gloria Murphy,You Break My Heart,single,You Break My Heart,,
101,Reilly Nash,"Slow Night, So Long",single,"Slow Night, So Long",,
102,Nate,In Which Dell Finds His Fight,single,In Which Dell Finds His Fight,,
103,Phillip Nichols,The Time Warp,single,The Time Warp,,
104,Nick,Jordan Belfi,multiple,Let the Bad Times Roll,Migration,['8']
105,Benjamin O'Leary,I Am a Tree,single,I Am a Tree,,
106,George O'Malley,T.R. Knight,multiple,A Hard Day's Night,Good Mourning,"['1', '2', '3', '4', '5', '6']"
107,Harold O'Malley,George Dzundza,multiple,Thanks for the Memories,"Six Days, Part 2","['2', '3']"
108,Bradley Parker,Transplant Wasteland,single,Transplant Wasteland,,
109,William Dell Parker,Chris Lowell,multiple,GA,Grey's Anatomy,['3']
110,Heather Parker,Agnes Bruckner,multiple,Contamination,Blowups,[]
111,Charles Percy,Robert Baker,multiple
